Supplementary Data 3 -Differentially expressed genes in food allergy,,,,,,,,,,,,,,
transcript ID,entrez ID,symbol,chromosome,start,end,biotype,description,log FoldChange (case-control),Average Expression,t statistic,P.Value,adjusted.P.Value,B score,direction
ENSG00000270647,8148,TAF15,HG385_PATCH,34136474,34191634,protein_coding,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa [Source:HGNC Symbol;Acc:11547]",-0.312453666,7.472483495,-3.241574048,0.001769373,0.032172861,-1.787297991,down
ENSG00000152270,5140,PDE3B,11,14665269,14892350,protein_coding,"phosphodiesterase 3B, cGMP-inhibited [Source:HGNC Symbol;Acc:8779]",-0.311754507,6.27376485,-3.293738492,0.001502571,0.029494802,-1.548047226,down
ENSG00000156232,123720,WHAMM,15,83478380,83503611,protein_coding,"WAS protein homolog associated with actin, golgi membranes and microtubules [Source:HGNC Symbol;Acc:30493]",-0.310628585,4.399276694,-3.192527087,0.002051948,0.034872022,-1.60929783,down
ENSG00000198182,101927758,ZNF607,19,38187264,38210691,protein_coding,zinc finger protein 607 [Source:HGNC Symbol;Acc:28192],-0.309014834,3.863289993,-3.838644661,0.000254125,0.009966346,0.312117217,down
ENSG00000128915,79664,NARG2,15,60711808,60771359,protein_coding,NMDA receptor regulated 2 [Source:HGNC Symbol;Acc:29885],-0.308940767,6.466721804,-5.573047223,3.64E-07,0.000167474,6.292012382,down
ENSG00000256294,7768,ZNF225,19,44616334,44637027,protein_coding,zinc finger protein 225 [Source:HGNC Symbol;Acc:13018],-0.308557328,3.28644281,-4.275546526,5.48E-05,0.003957366,1.747106852,down
ENSG00000132424,25957,PNISR,6,99845927,99873207,protein_coding,PNN-interacting serine/arginine-rich protein [Source:HGNC Symbol;Acc:21222],-0.30667855,7.235113296,-2.995157421,0.003708486,0.049685289,-2.431044139,down
ENSG00000188785,147694,ZNF548,19,57901218,57912786,protein_coding,zinc finger protein 548 [Source:HGNC Symbol;Acc:26561],-0.306004661,5.178081531,-3.456198973,0.000899884,0.021655226,-0.96712404,down
ENSG00000164631,7559,ZNF12,7,6728064,6746554,protein_coding,zinc finger protein 12 [Source:HGNC Symbol;Acc:12902],-0.305709705,5.468416109,-3.502882178,0.000774467,0.02023483,-0.882978887,down
ENSG00000188295,79862,ZNF669,1,247263264,247267674,protein_coding,zinc finger protein 669 [Source:HGNC Symbol;Acc:25736],-0.305653818,3.579975833,-4.258200685,5.83E-05,0.004072746,1.677474922,down
ENSG00000148219,23245,ASTN2,9,119187504,120177348,protein_coding,astrotactin 2 [Source:HGNC Symbol;Acc:17021],-0.305348774,4.568064313,-3.08333865,0.002852149,0.042264688,-1.958769835,down
ENSG00000105136,79744,ZNF419,19,57999079,58006048,protein_coding,zinc finger protein 419 [Source:HGNC Symbol;Acc:20648],-0.304902768,3.766049436,-3.078836794,0.002890685,0.042668135,-1.835083709,down
ENSG00000215699,100996657,SRSF10,GL000191.1,36277,50281,protein_coding,"cDNA FLJ30749 fis, clone FEBRA2000402, highly similar to FUS-interacting serine-arginine-rich protein 1; cDNA FLJ43846 fis, clone TESTI4006393, highly similar to FUS-interacting serine-arginine-rich protein 1  [Source:UniProtKB/TrEMBL;Acc:B3KNY6]",-0.304806691,6.364246061,-3.987922413,0.000151968,0.007465405,0.547906019,down
ENSG00000171862,5728,PTEN,10,89622870,89731687,protein_coding,phosphatase and tensin homolog [Source:HGNC Symbol;Acc:9588],-0.303567232,6.785738616,-3.893621629,0.000210558,0.008905745,0.225458237,down
ENSG00000120784,22835,ZFP30,19,38104650,38183238,protein_coding,ZFP30 zinc finger protein [Source:HGNC Symbol;Acc:29555],-0.303478099,4.08396428,-3.530621936,0.000707979,0.019216279,-0.650634572,down
ENSG00000106799,7046,TGFBR1,9,101866320,101916474,protein_coding,"transforming growth factor, beta receptor 1 [Source:HGNC Symbol;Acc:11772]",-0.302613467,6.215676462,-3.092593007,0.002775734,0.041689042,-2.143837989,down
ENSG00000170006,201799,TMEM154,4,153539784,153601317,protein_coding,transmembrane protein 154 [Source:HGNC Symbol;Acc:26489],-0.302324496,5.387900318,-4.532238078,2.13E-05,0.002033194,2.481543336,down
ENSG00000152620,133686,NADK2,5,36192694,36242381,protein_coding,"NAD kinase 2, mitochondrial [Source:HGNC Symbol;Acc:26404]",-0.301996908,4.596813464,-3.450692761,0.000915882,0.021815985,-0.961441875,down
ENSG00000173611,286205,SCAI,9,127704887,127905785,protein_coding,suppressor of cancer cell invasion [Source:HGNC Symbol;Acc:26709],-0.301524332,5.34596767,-3.956220596,0.000169657,0.007863433,0.544589132,down
ENSG00000138468,57337,SENP7,3,101043049,101232085,protein_coding,SUMO1/sentrin specific peptidase 7 [Source:HGNC Symbol;Acc:30402],-0.300520173,6.171068146,-3.744637786,0.000349266,0.012111297,-0.182231155,down
ENSG00000197601,84188,FAR1,11,13690217,13753893,protein_coding,fatty acyl CoA reductase 1 [Source:HGNC Symbol;Acc:26222],-0.299953142,5.771342849,-3.69023143,0.000418962,0.013556245,-0.35907162,down
ENSG00000174839,201627,DENND6A,3,57611184,57678816,protein_coding,DENN/MADD domain containing 6A [Source:HGNC Symbol;Acc:26635],-0.299762394,5.266282887,-4.244740599,6.12E-05,0.00419588,1.509742879,down
ENSG00000198039,101929245,ZNF273,7,64330550,64391344,protein_coding,zinc finger protein 273 [Source:HGNC Symbol;Acc:13067],-0.299576651,4.255919528,-3.833495923,0.00025862,0.010018295,0.239932385,down
ENSG00000131381,64145,ZFYVE20,3,15111580,15140670,protein_coding,"zinc finger, FYVE domain containing 20 [Source:HGNC Symbol;Acc:20759]",-0.299372771,4.989576832,-4.300473895,5.00E-05,0.003715492,1.718650626,down
ENSG00000196110,374879,ZNF699,19,9404951,9420514,protein_coding,zinc finger protein 699 [Source:HGNC Symbol;Acc:24750],-0.299057385,3.326925266,-3.088862327,0.002805521,0.041881098,-1.771553902,down
ENSG00000198799,9860,LRIG2,1,113615831,113674882,protein_coding,leucine-rich repeats and immunoglobulin-like domains 2 [Source:HGNC Symbol;Acc:20889],-0.298315508,5.368240819,-5.05968667,2.84E-06,0.000568242,4.400493347,down
ENSG00000177917,151188,ARL6IP6,2,153574407,153617767,protein_coding,ADP-ribosylation-like factor 6 interacting protein 6 [Source:HGNC Symbol;Acc:24048],-0.294689131,5.006909595,-4.079710754,0.000110179,0.006059512,0.952613472,down
ENSG00000170629,349152,DPY19L2P2,7,102815580,102920857,pseudogene,DPY19L2 pseudogene 2 [Source:HGNC Symbol;Acc:21764],-0.294275645,3.404667379,-3.10141766,0.002702162,0.041244658,-1.774208711,down
ENSG00000204611,90317,ZNF616,19,52616344,52643175,protein_coding,zinc finger protein 616 [Source:HGNC Symbol;Acc:28062],-0.293407765,4.29077434,-3.42674552,0.00098864,0.022790291,-0.98017455,down
ENSG00000107560,22841,RAB11FIP2,10,119764427,119806114,protein_coding,RAB11 family interacting protein 2 (class I) [Source:HGNC Symbol;Acc:29152],-0.293029764,4.448395069,-3.351918021,0.001252735,0.026514402,-1.191578587,down
ENSG00000109323,4126,MANBA,4,103552660,103682151,protein_coding,"mannosidase, beta A, lysosomal [Source:HGNC Symbol;Acc:6831]",-0.291608812,4.16760854,-3.152315553,0.002318446,0.037740617,-1.734473245,down
ENSG00000143951,51057,WDPCP,2,63348518,64054977,protein_coding,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:28027],-0.291498587,4.22512101,-3.594313069,0.0005752,0.016641976,-0.461915212,down
ENSG00000198131,27300,ZNF544,19,58739960,58788815,protein_coding,zinc finger protein 544 [Source:HGNC Symbol;Acc:16759],-0.290996078,5.261508739,-3.835311015,0.000257027,0.010018295,0.142273749,down
ENSG00000147601,7013,TERF1,8,73921099,73960357,protein_coding,telomeric repeat binding factor (NIMA-interacting) 1 [Source:HGNC Symbol;Acc:11728],-0.290708293,5.261904952,-4.84608429,6.50E-06,0.000989353,3.59924163,down
ENSG00000198625,4194,MDM4,1,204485511,204542871,protein_coding,Mdm4 p53 binding protein homolog (mouse) [Source:HGNC Symbol;Acc:6974],-0.28947596,7.034139425,-3.616494839,0.000534784,0.016038422,-0.642639558,down
ENSG00000096746,3189,HNRNPH3,10,70090931,70102948,protein_coding,heterogeneous nuclear ribonucleoprotein H3 (2H9) [Source:HGNC Symbol;Acc:5043],-0.289069219,7.956839555,-5.003802472,3.53E-06,0.000652891,4.073377536,down
ENSG00000040341,27067,STAU2,8,74332604,74659943,protein_coding,staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:11371],-0.288290255,5.188599619,-4.678128059,1.23E-05,0.001410981,2.995319183,down
ENSG00000182923,80254,CEP63,3,134204585,134293859,protein_coding,centrosomal protein 63kDa [Source:HGNC Symbol;Acc:25815],-0.286386444,5.042544053,-4.412122989,3.33E-05,0.002790354,2.082095247,down
ENSG00000075089,64431,ACTR6,12,100592900,100635643,protein_coding,ARP6 actin-related protein 6 homolog (yeast) [Source:HGNC Symbol;Acc:24025],-0.285005003,4.998965698,-3.947867596,0.000174638,0.008035032,0.526287241,down
ENSG00000158691,9753,ZSCAN12,6,28346732,28367511,protein_coding,zinc finger and SCAN domain containing 12 [Source:HGNC Symbol;Acc:13172],-0.284732219,4.101768553,-3.254716801,0.0016956,0.031305057,-1.445131884,down
ENSG00000117632,3925,STMN1,1,26210672,26233482,protein_coding,stathmin 1 [Source:HGNC Symbol;Acc:6510],-0.284709696,8.060134923,-3.557646639,0.000648433,0.018123263,-0.865884162,down
ENSG00000111875,25842,ASF1A,6,119215384,119230332,protein_coding,anti-silencing function 1A histone chaperone [Source:HGNC Symbol;Acc:20995],-0.284532609,5.392711888,-3.415732809,0.001023901,0.023048775,-1.154243206,down
ENSG00000083535,10464,PIBF1,13,73356197,73590591,protein_coding,progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:23352],-0.284523681,4.447454639,-3.345612962,0.00127779,0.026739943,-1.243113957,down
ENSG00000034533,28990,ASTE1,3,130732719,130746493,protein_coding,asteroid homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:25021],-0.284511694,3.948736921,-3.382458572,0.001137788,0.024812995,-1.048426369,down
ENSG00000189180,7581,ZNF33A,10,38299578,38354016,protein_coding,zinc finger protein 33A [Source:HGNC Symbol;Acc:13096],-0.284221517,6.191427324,-3.867873676,0.000229988,0.009411065,0.192366107,down
ENSG00000183808,389677,RBM12B,8,94741584,94753245,protein_coding,RNA binding motif protein 12B [Source:HGNC Symbol;Acc:32310],-0.283983361,5.865516625,-4.125662844,9.37E-05,0.00543601,1.041071265,down
ENSG00000145687,23635,SSBP2,5,80708840,81047616,protein_coding,single-stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:15831],-0.283660372,5.018075816,-3.050119676,0.00314813,0.044853713,-2.080302821,down
ENSG00000153130,60592,SCOC,4,141178440,141306880,protein_coding,short coiled-coil protein [Source:HGNC Symbol;Acc:20335],-0.283660046,5.828587618,-3.396630959,0.001087893,0.024045028,-1.253453877,down
ENSG00000256087,9668,ZNF432,19,52534632,52598991,protein_coding,zinc finger protein 432 [Source:HGNC Symbol;Acc:20810],-0.283540386,4.145716016,-3.191558486,0.002058016,0.03494366,-1.61835396,down
ENSG00000054267,51742,ARID4B,1,235294949,235491534,protein_coding,AT rich interactive domain 4B (RBP1-like) [Source:HGNC Symbol;Acc:15550],-0.282747957,6.795761933,-4.32254604,4.62E-05,0.003512302,1.661803494,down
ENSG00000196387,7699,ZNF140,12,133656424,133684130,protein_coding,zinc finger protein 140 [Source:HGNC Symbol;Acc:12925],-0.282081505,4.718673313,-4.400403245,3.47E-05,0.002846889,2.071583051,down
ENSG00000196214,90321,ZNF766,19,52772824,52795977,protein_coding,zinc finger protein 766 [Source:HGNC Symbol;Acc:28063],-0.281850442,5.385615055,-4.748132454,9.46E-06,0.001217111,3.246514284,down
ENSG00000189369,23708,GSPT2,X,51486481,51489324,protein_coding,G1 to S phase transition 2 [Source:HGNC Symbol;Acc:4622],-0.281847871,3.290917866,-3.823135721,0.000267897,0.01020583,0.304536765,down
ENSG00000268273,23708,GSPT2,HG1433_PATCH,51486385,51489228,protein_coding,G1 to S phase transition 2 [Source:HGNC Symbol;Acc:4622],-0.281529976,3.290497211,-3.822642173,0.000268347,0.01020583,0.303037532,down
ENSG00000131725,54521,WDR44,X,117480036,117583924,protein_coding,WD repeat domain 44 [Source:HGNC Symbol;Acc:30512],-0.281345965,5.10010517,-3.96957745,0.000161976,0.007735472,0.589375853,down
ENSG00000106415,113263,GLCCI1,7,8008425,8133902,protein_coding,glucocorticoid induced transcript 1 [Source:HGNC Symbol;Acc:18713],-0.279926848,4.917187325,-3.196910991,0.002024694,0.034566584,-1.710656202,down
ENSG00000165244,195828,ZNF367,9,99148223,99180611,protein_coding,zinc finger protein 367 [Source:HGNC Symbol;Acc:18320],-0.279762581,4.086326772,-3.606711592,0.000552265,0.016329043,-0.436065498,down
ENSG00000166477,123169,LEO1,15,52230222,52264003,protein_coding,"Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:30401]",-0.27958078,5.425726119,-4.680074678,1.23E-05,0.001410981,2.989473954,down
ENSG00000198482,388558,ZNF808,19,53030905,53067717,protein_coding,zinc finger protein 808 [Source:HGNC Symbol;Acc:33230],-0.278933098,4.957912378,-4.354811052,4.11E-05,0.003226902,1.89965452,down
ENSG00000164654,54468,MIOS,7,7606503,7648560,protein_coding,"missing oocyte, meiosis regulator, homolog (Drosophila) [Source:HGNC Symbol;Acc:21905]",-0.278851035,5.385198202,-4.869533822,5.94E-06,0.000934082,3.675082478,down
ENSG00000171843,4300,MLLT3,9,20341663,20622542,protein_coding,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 [Source:HGNC Symbol;Acc:7136]",-0.278430587,6.496512232,-4.733111069,1.00E-05,0.001235203,3.117349071,down
ENSG00000102699,143,PARP4,13,24995064,25086948,protein_coding,"poly (ADP-ribose) polymerase family, member 4 [Source:HGNC Symbol;Acc:271]",-0.27811857,6.757385145,-4.023987095,0.000133995,0.006925166,0.650813994,down
ENSG00000182551,55256,ADI1,2,3501132,3523507,protein_coding,acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:30576],-0.278035782,5.455360247,-3.887151353,0.000215287,0.009065127,0.286384603,down
ENSG00000151239,5756,TWF1,12,44187526,44200178,protein_coding,twinfilin actin-binding protein 1 [Source:HGNC Symbol;Acc:9620],-0.277945348,4.988147713,-4.402245638,3.45E-05,0.002846889,2.050328112,down
ENSG00000115137,51277,DNAJC27,2,25166505,25194963,protein_coding,"DnaJ (Hsp40) homolog, subfamily C, member 27 [Source:HGNC Symbol;Acc:30290]",-0.276382906,3.293062832,-3.260361948,0.001666304,0.031061204,-1.312891732,down
ENSG00000080824,3320,HSP90AA1,14,102547075,102606036,protein_coding,"heat shock protein 90kDa alpha (cytosolic), class A member 1 [Source:HGNC Symbol;Acc:5253]",-0.276374489,10.0759118,-3.972406141,0.000160392,0.007698833,0.424476186,down
ENSG00000205268,5150,PDE7A,8,66629745,66754557,protein_coding,phosphodiesterase 7A [Source:HGNC Symbol;Acc:8791],-0.276073682,7.476852065,-4.546747607,2.02E-05,0.001955784,2.434863296,down
ENSG00000173214,91749,KIAA1919,6,111580551,111592370,protein_coding,KIAA1919 [Source:HGNC Symbol;Acc:21053],-0.276052189,3.391732544,-3.59866101,0.000567056,0.016584408,-0.377727549,down
ENSG00000074621,9187,SLC24A1,15,65903704,65953333,protein_coding,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 1 [Source:HGNC Symbol;Acc:10975]",-0.276044382,3.970692543,-3.072452465,0.002946165,0.043020647,-1.923030855,down
ENSG00000113272,54974,THG1L,5,157158205,157168456,protein_coding,tRNA-histidine guanylyltransferase 1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:26053],-0.275433789,4.306848624,-3.32253019,0.001373595,0.028149856,-1.302199258,down
ENSG00000111731,9847,C2CD5,12,22601517,22697480,protein_coding,C2 calcium-dependent domain containing 5 [Source:HGNC Symbol;Acc:29062],-0.273699848,6.232266049,-4.707570787,1.10E-05,0.00130969,3.041482052,down
ENSG00000196417,91661,ZNF765,19,53893046,53930574,protein_coding,zinc finger protein 765 [Source:HGNC Symbol;Acc:25092],-0.272965287,4.923738766,-4.735184646,9.94E-06,0.001235203,3.229097103,down
ENSG00000156052,2776,GNAQ,9,80331003,80646374,protein_coding,"guanine nucleotide binding protein (G protein), q polypeptide [Source:HGNC Symbol;Acc:4390]",-0.270918711,5.795433727,-4.359579176,4.03E-05,0.003184482,1.839248998,down
ENSG00000204514,730051,ZNF814,19,58360099,58400442,protein_coding,zinc finger protein 814 [Source:HGNC Symbol;Acc:33258],-0.270754974,4.828104105,-3.371360514,0.001178358,0.025433119,-1.192276878,down
ENSG00000100503,51199,NIN,14,51186481,51297839,protein_coding,ninein (GSK3B interacting protein) [Source:HGNC Symbol;Acc:14906],-0.270429699,7.392499881,-4.545145989,2.03E-05,0.001957465,2.418038707,down
ENSG00000136938,10541,ANP32B,9,100745643,100778225,protein_coding,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Source:HGNC Symbol;Acc:16677]",-0.270023697,8.274311923,-4.041746755,0.000125913,0.006616237,0.664736035,down
ENSG00000151466,101927137,SCLT1,4,129786076,130014764,protein_coding,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:26406],-0.268388935,4.0426428,-3.446327995,0.000928755,0.021952165,-0.903348824,down
ENSG00000154957,7566,ZNF18,17,11880756,11900827,protein_coding,zinc finger protein 18 [Source:HGNC Symbol;Acc:12969],-0.2683254,3.595616037,-3.386105634,0.001124746,0.024586581,-1.00999587,down
ENSG00000102543,81602,CDADC1,13,49822047,49867618,protein_coding,cytidine and dCMP deaminase domain containing 1 [Source:HGNC Symbol;Acc:20299],-0.268017399,2.979982604,-3.409555338,0.001044197,0.023366227,-0.889962636,down
ENSG00000082258,905,CCNT2,2,135675805,135716912,protein_coding,cyclin T2 [Source:HGNC Symbol;Acc:1600],-0.26777242,5.824749358,-3.900100757,0.000205922,0.008828427,0.324599531,down
ENSG00000197008,7697,ZNF138,7,64254766,64294054,protein_coding,zinc finger protein 138 [Source:HGNC Symbol;Acc:12922],-0.266667147,3.629559737,-3.076433508,0.002911454,0.042862266,-1.872712539,down
ENSG00000197857,101060181,ZNF44,19,12335501,12405702,protein_coding,zinc finger protein 44 [Source:HGNC Symbol;Acc:13110],-0.265287136,5.136474775,-3.244275366,0.001751065,0.031884254,-1.522340702,down
ENSG00000047410,7175,TPR,1,186280784,186344825,protein_coding,"translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:12017]",-0.264956847,8.1760794,-3.958075801,0.00016857,0.007863433,0.393997161,down
ENSG00000100941,5411,PNN,14,39644387,39652422,protein_coding,"pinin, desmosome associated protein [Source:HGNC Symbol;Acc:9162]",-0.264937873,7.260877523,-3.846275333,0.0002476,0.009812446,0.054905116,down
ENSG00000139163,55500,ETNK1,12,22778009,22843599,protein_coding,ethanolamine kinase 1 [Source:HGNC Symbol;Acc:24649],-0.263576286,6.657438145,-3.520201623,0.000732294,0.01962216,-0.938803338,down
ENSG00000108264,6871,TADA2A,17,35766965,35839835,protein_coding,transcriptional adaptor 2A [Source:HGNC Symbol;Acc:11531],-0.263304137,4.767988169,-3.599804957,0.000564932,0.016565813,-0.536669,down
ENSG00000196459,6399,TRAPPC2,X,13730363,13752754,protein_coding,trafficking protein particle complex 2 [Source:HGNC Symbol;Acc:23068],-0.26297113,4.864788988,-3.544115186,0.000677628,0.018606662,-0.702139501,down
ENSG00000157540,1859,DYRK1A,21,38738092,38889753,protein_coding,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:3091],-0.262495877,7.318327629,-4.232614004,6.39E-05,0.004308278,1.327788502,down
ENSG00000164104,3148,HMGB2,4,174252846,174256276,protein_coding,high mobility group box 2 [Source:HGNC Symbol;Acc:5000],-0.262435659,7.833658089,-3.665890667,0.000454262,0.014281989,-0.520906632,down
ENSG00000092140,55632,G2E3,14,31028329,31089269,protein_coding,G2/M-phase specific E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:20338],-0.262434887,5.264227198,-3.073465233,0.002937299,0.043019565,-2.103757454,down
ENSG00000196646,7695,ZNF136,19,12273879,12300064,protein_coding,zinc finger protein 136 [Source:HGNC Symbol;Acc:12920],-0.260892089,4.739024736,-3.880560524,0.000220209,0.009199409,0.360564642,down
ENSG00000108960,23531,MMD,17,53469974,53499353,protein_coding,monocyte to macrophage differentiation-associated [Source:HGNC Symbol;Acc:7153],-0.260621196,3.784334853,-3.305642867,0.001447922,0.028842239,-1.283070176,down
ENSG00000261900,9849,ZNF518A,HG339_PATCH,97889472,97965046,protein_coding,zinc finger protein 518A [Source:HGNC Symbol;Acc:29009],-0.260445191,5.58343558,-3.373739356,0.001169549,0.025271903,-1.283761304,down
ENSG00000130818,79088,ZNF426,19,9638667,9649303,protein_coding,zinc finger protein 426 [Source:HGNC Symbol;Acc:20725],-0.260141823,4.028665033,-3.957564008,0.000168869,0.007863433,0.660787519,down
ENSG00000119979,404636,FAM45A,10,120863598,120897496,protein_coding,"family with sequence similarity 45, member A [Source:HGNC Symbol;Acc:31793]",-0.259813873,4.369471462,-3.413437942,0.001031397,0.02316223,-1.043261746,down
ENSG00000262599,57189,KIAA1147,HSCHR7_1_CTG6,141356528,141401956,protein_coding,KIAA1147 [Source:HGNC Symbol;Acc:29472],-0.258568435,6.290882981,-3.693203363,0.000414835,0.01351565,-0.376914074,down
ENSG00000172673,387357,THEMIS,6,128029217,128239776,protein_coding,thymocyte selection associated [Source:HGNC Symbol;Acc:21569],-0.258378518,7.021404715,-3.010241523,0.003541093,0.048091561,-2.408500881,down
ENSG00000187626,387032,ZKSCAN4,6,28212401,28227011,protein_coding,zinc finger with KRAB and SCAN domains 4 [Source:HGNC Symbol;Acc:13854],-0.257845617,3.13275756,-3.329959479,0.001342046,0.027850771,-1.111306835,down
ENSG00000214753,221092,HNRNPUL2,11,62480102,62494821,protein_coding,heterogeneous nuclear ribonucleoprotein U-like 2 [Source:HGNC Symbol;Acc:25451],-0.257175267,8.256931158,-3.506382346,0.000765763,0.020090896,-1.028881556,down
ENSG00000257093,57189,KIAA1147,7,141356528,141401953,protein_coding,KIAA1147 [Source:HGNC Symbol;Acc:29472],-0.256975534,6.293364134,-3.669473301,0.000448894,0.014214759,-0.450610162,down
ENSG00000136754,10006,ABI1,10,27035522,27150016,protein_coding,abl-interactor 1 [Source:HGNC Symbol;Acc:11320],-0.256641727,6.469236474,-4.425061801,3.17E-05,0.002716077,2.024989625,down
ENSG00000186814,100101467,ZSCAN30,18,32831032,32870196,protein_coding,zinc finger and SCAN domain containing 30 [Source:HGNC Symbol;Acc:33517],-0.255766072,5.090885503,-3.214355329,0.001919565,0.03349739,-1.68247847,down
ENSG00000174720,51574,LARP7,4,113558120,113578748,protein_coding,"La ribonucleoprotein domain family, member 7 [Source:HGNC Symbol;Acc:24912]",-0.255763129,5.681007671,-3.477310758,0.000840957,0.021027806,-0.995095125,down
ENSG00000086666,54469,ZFAND6,15,80351910,80430735,protein_coding,"zinc finger, AN1-type domain 6 [Source:HGNC Symbol;Acc:30164]",-0.255691946,5.384784128,-4.548302076,2.01E-05,0.001955784,2.527317632,down
ENSG00000172671,93550,ZFAND4,10,46111043,46168228,protein_coding,"zinc finger, AN1-type domain 4 [Source:HGNC Symbol;Acc:23504]",-0.255222577,3.906106356,-3.611257498,0.000544076,0.01616291,-0.372300508,down
ENSG00000083896,91746,YTHDC1,4,69176105,69215807,protein_coding,YTH domain containing 1 [Source:HGNC Symbol;Acc:30626],-0.254555068,7.174256747,-5.447962227,6.05E-07,0.000215041,5.787218609,down
ENSG00000134086,7428,VHL,3,10182692,10193904,protein_coding,"von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:12687]",-0.254467472,6.560147661,-3.919948892,0.00019232,0.008476476,0.320462305,down
ENSG00000131018,23345,SYNE1,6,152442819,152958936,protein_coding,"spectrin repeat containing, nuclear envelope 1 [Source:HGNC Symbol;Acc:17089]",-0.253566595,7.102519026,-3.747259,0.000346204,0.012027233,-0.231771555,down
ENSG00000161048,222236,NAPEPLD,7,102740223,102790007,protein_coding,N-acyl phosphatidylethanolamine phospholipase D [Source:HGNC Symbol;Acc:21683],-0.253238333,3.982648725,-3.519518968,0.000733915,0.019637682,-0.644809095,down
ENSG00000203705,128387,TATDN3,1,212965170,212989968,protein_coding,TatD DNase domain containing 3 [Source:HGNC Symbol;Acc:27010],-0.252514839,3.403687008,-3.135171515,0.002441617,0.03885471,-1.688324122,down
ENSG00000155099,55529,TMEM55A,8,92006024,92053292,protein_coding,transmembrane protein 55A [Source:HGNC Symbol;Acc:25452],-0.251963549,3.420458491,-3.066907224,0.002995156,0.043295501,-1.863518105,down
ENSG00000122484,79871,RPAP2,1,92764522,92867613,protein_coding,RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:25791],-0.251831488,6.515265146,-3.650659652,0.000477771,0.01482348,-0.51953243,down
ENSG00000142875,5567,PRKACB,1,84543745,84704181,protein_coding,"protein kinase, cAMP-dependent, catalytic, beta [Source:HGNC Symbol;Acc:9381]",-0.25156538,7.515648605,-3.595735849,0.000572523,0.016641976,-0.72343083,down
ENSG00000196670,643836,ZFP62,5,180274611,180288286,protein_coding,ZFP62 zinc finger protein [Source:HGNC Symbol;Acc:23241],-0.250918085,4.853633753,-3.076002079,0.002915198,0.042862266,-2.00531888,down
ENSG00000140350,8125,ANP32A,15,69070874,69113236,protein_coding,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A [Source:HGNC Symbol;Acc:13233]",-0.250842089,7.969790236,-3.915458011,0.00019532,0.008549507,0.255177625,down
ENSG00000127152,64919,BCL11B,14,99635624,99737861,protein_coding,B-cell CLL/lymphoma 11B (zinc finger protein) [Source:HGNC Symbol;Acc:13222],-0.250717631,7.630789105,-3.091438712,0.002784016,0.041713803,-2.190320596,down
ENSG00000172795,167227,DCP2,5,112312399,112356667,protein_coding,decapping mRNA 2 [Source:HGNC Symbol;Acc:24452],-0.249728411,7.11335091,-3.06554408,0.003007315,0.04343797,-2.263421258,down
ENSG00000148700,120,ADD3,10,111756126,111895323,protein_coding,adducin 3 (gamma) [Source:HGNC Symbol;Acc:245],-0.249020854,8.178996444,-3.646935717,0.000483693,0.014958002,-0.582835702,down
ENSG00000125482,7270,TTF1,9,135251008,135282209,protein_coding,"transcription termination factor, RNA polymerase I [Source:HGNC Symbol;Acc:12397]",-0.248453419,5.261691112,-3.77052582,0.000320126,0.011524523,-0.063879009,down
ENSG00000148019,84131,CEP78,9,80850978,80894606,protein_coding,centrosomal protein 78kDa [Source:HGNC Symbol;Acc:25740],-0.24734229,5.648196604,-3.348817279,0.001264998,0.026692314,-1.370216797,down
ENSG00000198346,126017,ZNF813,19,53970989,54006950,protein_coding,zinc finger protein 813 [Source:HGNC Symbol;Acc:33257],-0.246653932,4.588124268,-3.550773189,0.000663111,0.01834152,-0.660434067,down
ENSG00000196236,63929,XPNPEP3,22,41253081,41363838,protein_coding,"X-prolyl aminopeptidase (aminopeptidase P) 3, putative [Source:HGNC Symbol;Acc:28052]",-0.246569455,4.915669326,-3.442517843,0.000940131,0.022113017,-1.027572275,down
ENSG00000141446,114799,ESCO1,18,19109242,19180845,protein_coding,establishment of sister chromatid cohesion N-acetyltransferase 1 [Source:HGNC Symbol;Acc:24645],-0.246057731,5.649645051,-3.925513404,0.000188664,0.008443911,0.395468909,down
